Team,Runs,Wickets,Fours,Sixes,PowerPlay Runs,PowerPlay Wickets,Mid Over Runs,Last Four Over,Extra Receive,Extra Given,Wickets Taken,Overs,Run Rate,hundred,seventies,fifties,thirties,Caught,bowled,keeper catch,run out,lbw,hit wicket,Innings,Super Over,Against,Ground,Result,DOM
Delhi Capitals,228,4,18,14,57,1,112,59,2,13,8,20,11.4,0,1,1,1,4,,,,,,1,False,Kolkata Knight Riders,Sharjah,Won,2020-10-03
Kolkata Knight Riders,210,8,12,14,59,1,92,59,13,2,4,20,10.5,0,0,1,2,5,2,1,,,,2,False,Delhi Capitals,Sharjah,Lost,2020-10-03
Chennai Super Kings,179,4,13,10,39,1,83,57,4,4,5,20,8.95,0,0,1,3,2,1,1,,,,1,False,Delhi Capitals,Sharjah,Lost,2020-10-17
Rajasthan Royals,177,6,17,5,52,1,81,44,10,13,3,20,8.85,0,0,1,1,4,,1,,1,,1,False,Royal Challengers Bangalore,Dubai,Lost,2020-10-17
Royal Challengers Bangalore,179,3,5,10,47,1,77,55,13,10,6,19.4,9.23,0,0,1,2,3,,,,,,2,False,Rajasthan Royals,Dubai,Won,2020-10-17
Delhi Capitals,185,5,17,7,41,2,98,46,4,4,4,19.5,9.49,1,0,0,0,5,,,,,,2,False,Chennai Super Kings,Sharjah,Won,2020-10-17
Kolkata Knight Riders,163,5,16,5,48,1,63,52,3,10,6,20,8.15,0,0,0,2,4,1,,,,,1,True,Sunrisers Hyderabad,Abu Dhabi,Lost,2020-10-18
Sunrisers Hyderabad,163,6,18,2,58,0,59,46,10,3,5,20,8.15,0,0,0,2,4,2,,,,,2,True,Kolkata Knight Riders,Abu Dhabi,Won,2020-10-18
Kolkata Knight Riders,191,7,16,12,55,1,91,45,7,5,9,20,9.55,0,0,1,2,5,,2,,,,1,False,Rajasthan Royals,Dubai,Won,2020-11-01
Rajasthan Royals,131,9,11,4,41,5,71,19,5,7,7,20,6.55,0,0,0,2,4,1,4,,,,2,False,Kolkata Knight Riders,Dubai,Lost,2020-11-01
Royal Challengers Bangalore,152,7,12,4,40,1,72,40,4,6,4,20,7.6,0,0,1,1,4,1,1,1,,,1,False,Delhi Capitals,Abu Dhabi,Lost,2020-11-02
Delhi Capitals,154,4,14,2,53,1,68,33,6,4,7,19,8.11,0,0,2,0,3,1,,,,,2,False,Royal Challengers Bangalore,Abu Dhabi,Won,2020-11-02
Mumbai Indians,149,8,10,8,48,2,61,40,1,8,0,20,7.45,0,0,0,3,3,3,1,,,,1,False,Sunrisers Hyderabad,Sharjah,Lost,2020-11-03
Sunrisers Hyderabad,151,0,17,2,56,0,75,20,8,1,8,17.1,8.83,0,1,1,0,,,,,,,2,False,Mumbai Indians,Sharjah,Won,2020-11-03
Royal Challengers Bangalore,131,7,10,1,32,2,72,27,4,10,4,20,6.55,0,0,1,1,4,1,1,1,,,1,False,Sunrisers Hyderabad,Abu Dhabi,Lost,2020-11-06
Sunrisers Hyderabad,132,4,11,3,48,2,49,35,10,4,7,19.4,6.8,0,0,1,0,1,,3,,,,2,False,Royal Challengers Bangalore,Abu Dhabi,Won,2020-11-06
Delhi Capitals,156,7,15,4,41,3,84,31,4,4,5,20,7.8,0,0,2,0,3,1,2,1,,,1,False,Mumbai Indians,Dubai,Lost,2020-11-10
Mumbai Indians,157,5,14,7,61,1,65,31,4,4,7,18.4,8.53,0,0,1,1,2,1,1,1,,,2,False,Delhi Capitals,Dubai,Won,2020-11-10
Mumbai Indians,200,5,15,12,63,1,77,60,4,6,8,20,10.0,0,0,2,2,4,,,,1,,1,False,Delhi Capitals,Dubai,Won,2020-11-05
Delhi Capitals,143,8,13,6,32,4,80,31,6,4,5,20,7.15,0,0,1,1,3,2,2,,1,,2,False,Mumbai Indians,Dubai,Lost,2020-11-05
Delhi Capitals,189,3,16,4,65,0,80,44,8,6,8,20,9.45,0,1,0,2,1,1,,,1,,1,False,Sunrisers Hyderabad,Abu Dhabi,Won,2020-11-08
Sunrisers Hyderabad,172,8,12,9,49,3,90,33,6,8,3,20,8.6,0,0,1,1,6,2,,,,,2,False,Delhi Capitals,Abu Dhabi,Lost,2020-11-08
Delhi Capitals,157,8,13,6,23,3,73,61,9,8,8,20,7.85,0,0,1,2,4,1,1,2,,,1,True,Kings XI Punjab,Dubai,Lost,2020-09-20
Kings XI Punjab,157,8,12,6,35,3,70,52,8,9,8,20,7.85,0,1,0,0,5,2,1,,,,2,True,Delhi Capitals,Dubai,Won,2020-09-20
Kolkata Knight Riders,167,10,14,5,52,1,81,34,10,4,5,20,8.35,0,1,0,0,5,,4,1,,,1,False,Chennai Super Kings,Abu Dhabi,Won,2020-10-07
Chennai Super Kings,157,5,18,3,54,1,70,33,4,10,10,20,7.85,0,0,1,1,2,1,1,,1,,2,False,Kolkata Knight Riders,Abu Dhabi,Lost,2020-10-07
